Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance,mst_Lower_bound
33,0,0,0,18,"['106685', '260033', '103926', '205427']",44,"['205427', '106685', '260033', '103926']",40,38
34,0,0,0,18,"['257415', '111873', '287467', '1101838', '287261', '1689273', '398302']",76,"['257415', '398302', '287467', '1689273', '287261', '1101838', '111873']",60,20
35,0,0,0,18,"['148548', '143230', '398335', '398325', '36346', '230013']",56,"['398335', '148548', '143230', '398325', '36346', '230013']",56,52
36,0,0,0,18,"['365028', '387238', '366339', '223681']",64,"['365028', '387238', '366339', '223681']",60,40
37,0,0,0,18,"['81941', '227150', '287164', '89769']",76,"['81941', '89769', '227150', '287164']",64,44
38,0,0,0,18,"['31378', '108335', '5697', '2489041']",64,"['31378', '5697', '108335', '2489041']",56,52
39,0,0,0,18,"['392017', '391888', '378837', '1333672', '1164788', '276338', '185422']",48,"['276338', '1164788', '392017', '391888', '1333672', '185422', '378837']",36,28
40,0,0,0,18,"['204257', '193832', '60315', '679025']",44,"['679025', '193832', '60315', '204257']",44,30
41,0,0,0,18,"['335765', '30440', '230546', '41100']",36,"['335765', '30440', '230546', '41100']",28,24
42,0,0,0,18,"['360218', '137790', '24294', '131627', '145989', '251547', '244708']",92,"['137790', '24294', '131627', '360218', '145989', '251547', '244708']",68,48
43,0,0,0,18,"['5735', '350562', '180023', '32895', '22234', '321099', '111873', '499508', '1101259', '392000']",68,"['5735', '180023', '32895', '111873', '1101259', '350562', '22234', '321099', '499508', '392000']",44,36
44,0,0,0,18,"['207762', '392705', '46071', '324086', '475132', '475125']",72,"['475132', '324086', '207762', '392705', '46071', '475125']",56,38
45,0,0,0,18,"['307102', '1101337', '387191', '2150316', '2620913', '2620902', '1102073']",64,"['307102', '1101337', '387191', '2150316', '2620913', '2620902', '1102073']",56,70
46,0,0,0,18,"['1192448', '184241', '226774', '185422', '950952', '193832']",52,"['1192448', '184241', '226774', '185422', '193832', '950952']",36,22
