Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,nn_order,nn_distance,nn_effort,mst_Lower_bound,bab_order,bab_distance,bab_effort
1437,0,0,0,0,"['1328975', '183324', '227318', '188558', '222995', '258360', '83512', '302876', '266923']",58,"['227318', '188558', '183324', '222995', '258360', '83512', '302876', '1328975', '266923']",48,191.0,48,"['1328975', '183324', '188558', '222995', '258360', '83512', '227318', '266923', '302876']",58,77.4
1438,0,0,0,0,"['208299', '147629', '311368', '48409', '255229']",76,"['255229', '48409', '208299', '147629', '311368']",68,500.0,60,"['208299', '48409', '147629', '311368', '255229']",74,372.0
1439,0,0,0,0,"['383599', '381992', '331435', '258569', '89769']",82,"['89769', '331435', '381992', '258569', '383599']",62,196.0,54,"['383599', '89769', '381992', '258569', '331435']",70,180.0
1440,0,0,0,0,"['86694', '409388', '409391', '408662']",50,"['409391', '409388', '86694', '408662']",46,65.0,42,"['86694', '409388', '409391', '408662']",52,45.0
1441,0,0,0,0,"['70361', '108929', '391888', '1396949']",72,"['70361', '391888', '1396949', '108929']",62,896.0,54,"['70361', '391888', '1396949', '108929']",66,896.0
1442,0,0,0,0,"['943208', '146020', '405390', '354111', '321516']",46,"['321516', '354111', '943208', '146020', '405390']",42,1379.0,28,"['354111', '405390', '146020', '943208', '321516']",48,509.8
1443,0,0,0,0,"['1701957', '1391782', '1376656', '1376655', '1391781', '1701956']",56,"['1701956', '1391781', '1701957', '1391782', '1376656', '1376655']",44,1159.6,42,"['1376656', '1376655', '1391781', '1701957', '1701956', '1391782']",48,1503.0
1444,0,0,0,0,"['1399712', '208299', '147629', '311368', '48409', '255229']",76,"['48409', '208299', '147629', '311368', '1399712', '255229']",70,414.0,56,"['208299', '48409', '147629', '311368', '255229', '1399712']",72,344.0
1445,0,0,0,0,"['708440', '489494', '708441', '22186']",50,"['708441', '708440', '489494', '22186']",46,30.8,48,"['708440', '489494', '708441', '22186']",52,27.2
1446,0,0,0,0,"['639368', '366724', '708440', '358313', '358313', '272351']",88,"['639368', '366724', '272351', '358313', '358313', '708440']",66,702.2,50,"['366724', '639368', '708440', '272351', '358313', '358313']",70,374.6
1447,0,0,0,0,"['1328936', '625497', '625492', '383599', '381992', '366647']",60,"['366647', '383599', '381992', '625497', '625492', '1328936']",54,130.0,40,"['383599', '625497', '625492', '381992', '366647', '1328936']",68,154.0
1448,0,0,0,0,"['1055641', '282097', '260347', '278123']",64,"['278123', '282097', '260347', '1055641']",60,310.0,46,"['1055641', '282097', '260347', '278123']",66,279.0
1449,0,0,0,0,"['2150799', '43261', '10780', '70012', '249966', '734823', '396806', '396805']",102,"['10780', '43261', '2150799', '734823', '70012', '249966', '396806', '396805']",78,94.0,66,"['2150799', '43261', '70012', '249966', '734823', '10780', '396805', '396806']",102,92.0
1450,0,0,0,0,"['202966', '96509', '7656', '323532', '239436', '261161', '1101320', '31576']",70,"['96509', '202966', '7656', '261161', '1101320', '239436', '31576', '323532']",62,342.0,46,"['202966', '7656', '323532', '239436', '31576', '261161', '1101320', '96509']",62,157.6
1451,0,0,0,0,"['231434', '315532', '286457']",56,"['286457', '315532', '231434']",50,738.0,44,"['315532', '286457', '231434']",56,692.0
1452,0,0,0,0,"['391857', '191091', '354453', '1018729', '335546', '240490', '2210075']",74,"['2210075', '240490', '1018729', '335546', '191091', '354453', '391857']",66,159.2,32,"['335546', '1018729', '240490', '2210075', '191091', '354453', '391857']",68,103.8
1453,0,0,0,0,"['283348', '266184', '8659', '1085968', '6600', '62067']",78,"['6600', '1085968', '62067', '283348', '266184', '8659']",62,1380.0,46,"['283348', '1085968', '6600', '62067', '266184', '8659']",70,1328.0
1454,0,0,0,0,"['393929', '193832', '206395', '392017', '378837', '103926', '5307']",76,"['5307', '103926', '393929', '193832', '206395', '392017', '378837']",60,40.0,56,"['193832', '206395', '392017', '103926', '5307', '393929', '378837']",68,34.0
1455,0,0,0,0,"['306104', '84012', '390290', '135494']",84,"['135494', '84012', '306104', '390290']",64,352.8,62,"['306104', '390290', '135494', '84012']",82,269.2
1456,0,0,0,0,"['393929', '193832', '206395', '392017', '378837', '103926', '5307']",76,"['5307', '103926', '393929', '193832', '206395', '392017', '378837']",60,40.0,56,"['193832', '206395', '392017', '103926', '5307', '393929', '378837']",68,34.0
1457,0,0,0,0,"['105912', '199158', '709721', '708440', '489489', '708441', '708443', '708445', '145327', '732350', '711892']",78,"['711892', '709721', '708440', '489489', '708441', '708443', '708445', '145327', '732350', '105912', '199158']",72,281.0,62,"['709721', '708440', '708445', '732350', '145327', '711892', '708443', '489489', '708441', '105912', '199158']",74,323.2
1458,0,0,0,0,"['2108626', '63168', '697', '1130941', '107849', '751247', '83590']",48,"['83590', '63168', '697', '1130941', '107849', '751247', '2108626']",40,52.4,40,"['63168', '697', '1130941', '107849', '751247', '83590', '2108626']",46,55.8
1459,0,0,0,0,"['1654296', '851614', '53074', '391857', '393069']",76,"['851614', '1654296', '53074', '393069', '391857']",50,890.2,32,"['53074', '1654296', '851614', '393069', '391857']",54,855.2
1460,0,0,0,0,"['205154', '221912', '379532', '196285']",50,"['196285', '205154', '221912', '379532']",46,46.0,48,"['205154', '221912', '379532', '196285']",48,54.0
1461,0,0,0,0,"['1258790', '371519', '351244', '150913', '736982', '150913', '71693', '278871', '299996']",126,"['351244', '736982', '150913', '1258790', '278871', '299996', '150913', '71693', '371519']",66,49.0,56,"['1258790', '150913', '150913', '351244', '736982', '371519', '278871', '299996', '71693']",98,36.4
1462,0,0,0,0,"['1588730', '309096', '625453', '678256', '257518', '294886', '2113270']",90,"['2113270', '257518', '1588730', '678256', '309096', '294886', '625453']",50,51.0,56,"['1588730', '678256', '309096', '257518', '294886', '2113270', '625453']",58,54.0
1463,0,0,0,0,"['70012', '249966', '272457', '444', '307577', '306104', '1076480', '352109', '393035', '468184']",92,"['444', '272457', '307577', '306104', '1076480', '352109', '70012', '249966', '393035', '468184']",70,22.0,64,"['468184', '306104', '307577', '1076480', '70012', '249966', '272457', '444', '393035', '352109']",102,78.0
1464,0,0,0,0,"['397049', '615257', '17032', '68048']",64,"['68048', '17032', '397049', '615257']",58,644.0,54,"['397049', '615257', '17032', '68048']",62,776.0
1465,0,0,0,0,"['396968', '1016690', '108502', '767541', '108335', '941626', '398860']",80,"['398860', '1016690', '108335', '396968', '108502', '767541', '941626']",62,1628.0,58,"['396968', '1016690', '108502', '108335', '767541', '398860', '941626']",72,1267.6
1466,0,0,0,0,"['314958', '254402', '422465', '1142568', '732354', '262522', '36784', '87798']",96,"['1142568', '422465', '314958', '254402', '732354', '262522', '36784', '87798']",72,1802.4,42,"['732354', '262522', '1142568', '254402', '314958', '422465', '87798', '36784']",96,1403.6
1467,0,0,0,0,"['2147348', '174714', '717228', '300729']",68,"['2147348', '174714', '717228', '300729']",64,114.0,64,"['174714', '2147348', '300729', '717228']",74,114.0
1468,0,0,0,0,"['387534', '1138', '485119', '379085', '2150804', '110717', '660927']",78,"['2150804', '379085', '110717', '387534', '1138', '485119', '660927']",74,212.0,48,"['387534', '1138', '379085', '2150804', '110717', '485119', '660927']",80,431.8
1469,0,0,0,0,"['2210601', '1988976', '1989037', '1400577']",78,"['1400577', '1989037', '2210601', '1988976']",46,237.6,56,"['1400577', '1989037', '2210601', '1988976']",54,237.6
