Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance
47,0,0,0,10,"['231434', '286783', '274852', '49524', '170758', '76182', '264804', '1456044', '108775', '380552', '227318', '408295', '408451', '308223', '59538', '348200', '1101294', '1101291', '1101290', '1101292', '385901', '207762', '311912', '19704', '357643', '375582', '475110', '660042', '54430', '395701', '236272']",172,"['408295', '227318', '408451', '236272', '54430', '395701', '1101292', '1101290', '1101291', '1101294', '385901', '207762', '375582', '170758', '1456044', '264804', '108775', '380552', '308223', '49524', '76182', '357643', '475110', '59538', '348200', '311912', '19704', '231434', '274852', '286783', '660042']",78
48,0,0,0,10,"['2625154', '1019019', '100382', '154720', '299576', '817287', '336712', '1734057', '82591', '259577', '1075851', '365562', '259577', '343071', '1080194', '191091', '291100', '2137707', '289491', '51164', '2626882', '751202']",200,"['2625154', '1734057', '154720', '336712', '259577', '259577', '751202', '343071', '289491', '299576', '51164', '2137707', '191091', '1080194', '365562', '291100', '100382', '817287', '1075851', '1019019', '2626882', '82591']",76
49,0,0,0,10,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32
50,0,0,0,10,"['254322', '179564', '254322', '165051']",34,"['254322', '179564', '254322', '165051']",34
51,0,0,0,10,"['206570', '265089', '354517', '136990', '322374']",48,"['136990', '322374', '265089', '354517', '206570']",46
52,0,0,0,10,"['208299', '147629', '311368', '48409', '255229']",62,"['311368', '255229', '208299', '147629', '48409']",58
53,0,0,0,10,"['95075', '328242', '349267', '225316', '303243']",46,"['328242', '303243', '349267', '225316', '95075']",40
54,0,0,0,10,"['396806', '396805', '363644', '2150800']",66,"['396806', '396805', '363644', '2150800']",66
55,0,0,0,10,"['82695', '49925', '387491', '365587']",56,"['387491', '365587', '82695', '49925']",46
56,0,0,0,10,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32
57,0,0,0,10,"['205154', '221912', '379532', '196285']",40,"['205154', '221912', '379532', '196285']",40
58,0,0,0,10,"['259556', '172768', '379019']",50,"['259556', '172768', '379019']",50
59,0,0,0,10,"['29598', '1321', '294908', '383371', '239574', '239436', '245818', '195946', '342032']",76,"['342032', '239436', '383371', '294908', '239574', '1321', '29598', '245818', '195946']",66
60,0,0,0,10,"['1423411', '1423408', '356430', '392723', '488554', '488542']",48,"['1423411', '1423408', '392723', '488554', '488542', '356430']",48
61,0,0,0,10,"['7177', '306809', '245715', '42210', '1138']",32,"['1138', '7177', '306809', '245715', '42210']",28
62,0,0,0,10,"['1102104', '149408', '72860', '195946', '373288', '780493', '391857']",72,"['391857', '373288', '195946', '72860', '149408', '1102104', '780493']",54
63,0,0,0,10,"['1058452', '362469', '17057', '393663', '399874', '2184187']",48,"['2184187', '399874', '17057', '393663', '1058452', '362469']",46
64,0,0,0,10,"['52017', '372539', '305367', '110313', '156385']",32,"['52017', '372539', '305367', '110313', '156385']",32
65,0,0,0,10,['70172'],46,['70172'],46
66,0,0,0,10,"['208299', '147629', '311368', '48409', '255229']",62,"['311368', '255229', '208299', '147629', '48409']",58
67,0,0,0,10,"['1145766', '17057', '1145765', '2586530', '395664']",78,"['2586530', '1145765', '1145766', '17057', '395664']",58
68,0,0,0,10,"['1406725', '4847', '476883', '350155', '391890', '741988']",68,"['741988', '391890', '4847', '350155', '476883', '1406725']",52
69,0,0,0,10,"['337003', '394165', '309096', '383371', '176484', '1190168', '71795', '41100', '204756', '96509', '1588730', '239436', '151579', '285408', '34182', '306176', '180023', '32895', '191515', '327710', '156753']",124,"['96509', '41100', '204756', '151579', '1588730', '383371', '239436', '306176', '191515', '327710', '180023', '34182', '285408', '32895', '156753', '309096', '71795', '176484', '1190168', '337003', '394165']",72
70,0,0,0,10,"['42416', '365028', '387238', '366339']",38,"['42416', '365028', '387238', '366339']",38
71,0,0,0,10,"['96509', '204756', '41100', '2150795', '709705', '323532']",70,"['96509', '204756', '41100', '323532', '709705', '2150795']",70
72,0,0,0,10,"['49473', '31378', '128827', '148141']",66,"['148141', '31378', '128827', '49473']",66
73,0,0,0,10,"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']",32,"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']",32
74,0,0,0,10,"['322161', '70619', '71141', '191076']",28,"['322161', '70619', '71141', '191076']",28
75,0,0,0,10,"['155925', '81066', '1192657', '391857']",48,"['391857', '1192657', '155925', '81066']",40
76,0,0,0,10,"['87798', '475044', '84012', '736830', '1190986', '176484', '780493', '661741', '89769']",106,"['87798', '661741', '176484', '84012', '736830', '475044', '1190986', '89769', '780493']",70
77,0,0,0,10,"['2150795', '59313', '48365', '355027', '336788']",84,"['59313', '48365', '355027', '336788', '2150795']",70
78,0,0,0,10,"['391888', '193832', '206395', '392019']",34,"['391888', '193832', '206395', '392019']",34
79,0,0,0,10,"['193618', '154454', '17653', '100598']",50,"['154454', '100598', '17653', '193618']",42
80,0,0,0,10,"['294886', '257518', '164588', '311561']",42,"['294886', '257518', '164588', '311561']",42
81,0,0,0,10,"['249966', '70012', '396795', '363644']",50,"['249966', '70012', '396795', '363644']",50
82,0,0,0,10,"['1101314', '1117760', '251547', '272457', '372898', '708440']",76,"['372898', '708440', '1101314', '251547', '272457', '1117760']",68
83,0,0,0,10,"['780187', '2166906', '360342', '358857']",42,"['780187', '2166906', '360342', '358857']",42
84,0,0,0,10,"['17032', '68048', '374101']",40,"['374101', '17032', '68048']",40
85,0,0,0,10,"['383599', '381992', '366647', '5307', '91849', '113039', '376286']",60,"['91849', '113039', '376286', '383599', '381992', '366647', '5307']",54
86,0,0,0,10,"['103926', '106685', '260033']",38,"['103926', '106685', '260033']",38
87,0,0,0,10,"['352293', '386536', '358424', '375744']",54,"['386536', '358424', '375744', '352293']",64
88,0,0,0,10,"['382158', '388198', '286783', '34054']",72,"['286783', '382158', '388198', '34054']",52
89,0,0,0,10,"['360056', '367941', '198029', '17112']",42,"['367941', '360056', '17112', '198029']",38
90,0,0,0,10,"['190046', '1720591', '1400584', '1400569', '391857']",60,"['391857', '190046', '1720591', '1400584', '1400569']",60
91,0,0,0,10,"['219501', '208974', '168753', '1399145', '1327769']",38,"['219501', '208974', '168753', '1399145', '1327769']",38
92,0,0,0,10,"['219501', '317225', '208974', '392501', '168753', '1399145', '1327769']",58,"['219501', '208974', '168753', '392501', '317225', '1399145', '1327769']",38
93,0,0,0,10,"['365028', '387238', '366339']",38,"['365028', '387238', '366339']",38
94,0,0,0,10,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32
95,0,0,0,10,"['396794', '944530', '944526', '944527']",112,"['944527', '396794', '944526', '944530']",102
96,0,0,0,10,['2620261'],20,['2620261'],20
97,0,0,0,10,"['2217453', '2217454', '2217451', '2217452']",24,"['2217453', '2217454', '2217451', '2217452']",24
98,0,0,0,10,"['2217453', '2217454', '2217451', '2217452']",24,"['2217453', '2217454', '2217451', '2217452']",24
99,0,0,0,10,"['135359', '380393', '298112', '181025', '393243']",72,"['380393', '181025', '135359', '298112', '393243']",64
100,0,0,0,10,"['392819', '8659', '157585', '262522', '201055', '361101']",68,"['361101', '392819', '8659', '157585', '262522', '201055']",58
