Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance,mst_Lower_bound,bab_order,bab_distance
78,0,0,0,0,"['391888', '193832', '206395', '392019']",44,"['391888', '193832', '206395', '392019']",44,44,"['391888', '193832', '206395', '392019']",44
79,0,0,0,0,"['193618', '154454', '17653', '100598']",60,"['154454', '100598', '17653', '193618']",52,44,"['193618', '17653', '154454', '100598']",56
80,0,0,0,0,"['294886', '257518', '164588', '311561']",52,"['294886', '257518', '164588', '311561']",52,40,"['294886', '164588', '311561', '257518']",52
81,0,0,0,0,"['249966', '70012', '396795', '363644']",60,"['249966', '70012', '396795', '363644']",60,52,"['249966', '396795', '363644', '70012']",60
82,0,0,0,0,"['1101314', '1117760', '251547', '272457', '372898', '708440']",80,"['372898', '708440', '1101314', '251547', '272457', '1117760']",60,44,"['1117760', '251547', '272457', '1101314', '708440', '372898']",60
83,0,0,0,0,"['780187', '2166906', '360342', '358857']",52,"['780187', '2166906', '360342', '358857']",52,44,"['2166906', '360342', '358857', '780187']",52
84,0,0,0,0,"['17032', '68048', '374101']",48,"['374101', '17032', '68048']",48,42,"['17032', '68048', '374101']",48
85,0,0,0,0,"['383599', '381992', '366647', '5307', '91849', '113039', '376286']",68,"['91849', '113039', '376286', '383599', '381992', '366647', '5307']",64,44,"['5307', '383599', '381992', '366647', '91849', '113039', '376286']",64
86,0,0,0,0,"['103926', '106685', '260033']",48,"['103926', '106685', '260033']",48,48,"['103926', '106685', '260033']",48
87,0,0,0,0,"['352293', '386536', '358424', '375744']",64,"['386536', '358424', '375744', '352293']",64,48,"['352293', '386536', '358424', '375744']",64
88,0,0,0,0,"['382158', '388198', '286783', '34054']",76,"['286783', '382158', '388198', '34054']",56,50,"['388198', '34054', '382158', '286783']",64
89,0,0,0,0,"['360056', '367941', '198029', '17112']",52,"['367941', '360056', '17112', '198029']",48,44,"['360056', '198029', '17112', '367941']",48
90,0,0,0,0,"['190046', '1720591', '1400584', '1400569', '391857']",60,"['391857', '190046', '1720591', '1400584', '1400569']",52,32,"['1400584', '1400569', '1720591', '190046', '391857']",52
91,0,0,0,0,"['219501', '208974', '168753', '1399145', '1327769']",48,"['219501', '208974', '168753', '1399145', '1327769']",48,36,"['219501', '208974', '1399145', '1327769', '168753']",48
92,0,0,0,0,"['219501', '317225', '208974', '392501', '168753', '1399145', '1327769']",68,"['219501', '208974', '168753', '392501', '317225', '1399145', '1327769']",48,38,"['219501', '392501', '1399145', '208974', '1327769', '317225', '168753']",60
93,0,0,0,0,"['365028', '387238', '366339']",48,"['365028', '387238', '366339']",48,48,"['365028', '387238', '366339']",48
94,0,0,0,0,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32,32,"['356984', '376926', '360031']",32
95,0,0,0,0,"['396794', '944530', '944526', '944527']",112,"['944527', '396794', '944526', '944530']",112,74,"['944530', '944526', '396794', '944527']",112
96,0,0,0,0,['2620261'],20,['2620261'],20,20,['2620261'],20
97,0,0,0,0,"['2217453', '2217454', '2217451', '2217452']",28,"['2217453', '2217454', '2217451', '2217452']",28,28,"['2217453', '2217454', '2217451', '2217452']",28
98,0,0,0,0,"['2217453', '2217454', '2217451', '2217452']",28,"['2217453', '2217454', '2217451', '2217452']",28,28,"['2217453', '2217454', '2217451', '2217452']",28
99,0,0,0,0,"['135359', '380393', '298112', '181025', '393243']",72,"['380393', '181025', '135359', '298112', '393243']",64,48,"['380393', '393243', '298112', '135359', '181025']",64
100,0,0,0,0,"['392819', '8659', '157585', '262522', '201055', '361101']",68,"['361101', '392819', '8659', '157585', '262522', '201055']",68,54,"['157585', '262522', '201055', '8659', '392819', '361101']",76
